Age groups,Males,Females,Min Age,Max Age
95 years and older,0.04,0.1,95,100
90-94 years,0.2,0.32,90,94
85-89 years,0.46,0.6,85,89
80-84 years,0.86,1.0,80,84
75-79 years,1.49,1.55,75,79
70-74 years,2.02,2.02,70,74
65-69 years,2.44,2.48,65,69
60-64 years,2.76,2.77,60,64
55-59 years,2.81,2.88,55,59
50-54 years,3.02,2.92,50,54
45-49 years,3.21,3.0,45,49
40-44 years,3.65,3.3,40,44
35-39 years,3.81,3.31,35,39
30-34 years,4.35,3.83,30,34
25-29 years,4.01,3.62,25,29
20-24 years,3.39,3.16,20,24
15-19 years,3.29,3.07,15,19
10-14 years,3.31,3.16,10,14
5-9 years,2.99,2.8,5,9
0-4 years,3.12,2.86,0,4
